tri_id,status_code,status_label,has_meniscus_geom,has_bottom_geom,Pin_W,Ponplane_W,att
180,0,ok,1,1,0.000669703,0.000437461,0.653217
181,0,ok,1,1,0.000446468,0.000293951,0.65839
182,0,ok,1,1,0.000669729,0.000439158,0.655725
183,0,ok,1,1,0.000446486,0.000294967,0.660641
184,0,ok,1,1,0.000669757,0.000440939,0.658356
185,0,ok,1,1,0.000446505,0.000296027,0.662989
186,0,ok,1,1,0.000669786,0.00044278,0.661077
187,0,ok,1,1,0.000446524,0.000297118,0.665403
188,0,ok,1,1,0.000669814,0.000444657,0.663851
189,0,ok,1,1,0.000446543,0.000298225,0.667853
190,0,ok,1,1,0.000669843,0.000446545,0.666641
191,0,ok,1,1,0.000446562,0.000299332,0.670304
192,0,ok,1,1,0.000669872,0.000448419,0.66941
193,0,ok,1,1,0.000446581,0.000300426,0.672724
194,0,ok,1,1,0.000669899,0.000450252,0.672119
195,0,ok,1,1,0.0004466,0.00030149,0.675078
196,0,ok,1,1,0.000669926,0.000452019,0.67473
197,0,ok,1,1,0.000446617,0.00030251,0.677335
198,0,ok,1,1,0.000669951,0.000453696,0.677208
199,0,ok,1,1,0.000446634,0.000303471,0.679463
200,0,ok,1,1,0.000669974,0.000455258,0.679516
201,0,ok,1,1,0.000446649,0.000304361,0.681431
202,0,ok,1,1,0.000669995,0.000456683,0.681621
203,0,ok,1,1,0.000446663,0.000305165,0.683211
204,0,ok,1,1,0.000670013,0.00045795,0.683494
205,0,ok,1,1,0.000446676,0.000305874,0.684779
206,0,ok,1,1,0.000670029,0.000459041,0.685106
207,0,ok,1,1,0.000446686,0.000306476,0.68611
208,0,ok,1,1,0.000670042,0.00045994,0.686435
209,0,ok,1,1,0.000446695,0.000306962,0.687186
210,0,ok,1,1,0.000670052,0.000460634,0.68746
211,0,ok,1,1,0.000446701,0.000307326,0.68799
212,0,ok,1,1,0.000670059,0.000461112,0.688166
213,0,ok,1,1,0.000446706,0.000307562,0.688512
214,0,ok,1,1,0.000670062,0.000461366,0.688543
215,0,ok,1,1,0.000446708,0.000307667,0.688743
216,0,ok,1,1,0.000670062,0.000461395,0.688585
217,0,ok,1,1,0.000446708,0.000307639,0.688681
218,0,ok,1,1,0.000670059,0.000461195,0.688291
219,0,ok,1,1,0.000446706,0.000307479,0.688325
220,0,ok,1,1,0.000670052,0.000460772,0.687666
221,0,ok,1,1,0.000446701,0.000307188,0.687681
222,0,ok,1,1,0.000670042,0.000460131,0.686719
223,0,ok,1,1,0.000446695,0.000306771,0.686758
